"('riorganizz', 0.0060609956)","('schempp', 0.0037498167)","('dolcium', 0.0036363378)","('akcros', 0.0031741792)","('district', 0.003093285)","('guast', 0.0030484134)","('pagin', 0.0030005462)","('akzo', 0.0028569319)","('preavvis', 0.0028176932)","('mogl', 0.0025263778)","('handelsgericht', 0.002408372)","('haniel', 0.0023995815)","('lindqvist', 0.0020163695)","('unicred', 0.0019234982)","('prefiss', 0.0016180215)","('automatizz', 0.001391675)","('vest', 0.00090209814)","('management', 0.00068209996)","('verfassungsgerichtshof', 0.00013957515)","('bozz', 0.00012279682)","('patrimonial', 0.00011653082)","('messagg', 0.00011608974)","('fornitor', 0.00011569914)","('laborator', 0.000115687755)","('zuccher', 0.000115334915)"
"('screm', 0.010654357)","('polv', 0.0067630317)","('superst', 0.005142878)","('faxworld', 0.0049832473)","('bosc', 0.00398687)","('protes', 0.003929308)","('cam', 0.0036988351)","('columbus', 0.0034627682)","('tic', 0.0026680557)","('ricett', 0.0018782635)","('ingann', 0.001819281)","('permant', 0.0009142148)","('ikegam', 0.00018269694)","('niemann', 0.00013533929)","('suon', 0.00013388586)","('latt', 0.00012859133)","('detrarr', 0.00011543731)","('aiut', 0.000114741306)","('banan', 0.00011472248)","('vitell', 0.000114618415)","('vaccin', 0.00011458315)","('memorizz', 0.0001144915)","('redd', 0.000114436276)","('progett', 0.0001143421)","('cession', 0.00011433713)"
"('contraff', 0.0100740455)","('airways', 0.0066403425)","('bavarian', 0.004642351)","('sasson', 0.0036545082)","('furt', 0.003561877)","('assistent', 0.0033637502)","('conguagl', 0.0030535152)","('pfizer', 0.00302462)","('specc', 0.0017310287)","('inerz', 0.0016129133)","('renan', 0.001274811)","('somministr', 0.0011288192)","('schleswig', 0.0009956632)","('zootecn', 0.0009888663)","('brem', 0.0009230108)","('anhalt', 0.0008473302)","('terapeut', 0.0008429615)","('länder', 0.00069871545)","('palatin', 0.0006468526)","('tic', 0.00018697024)","('marc', 0.00012431387)","('opposizion', 0.000119363154)","('digital', 0.00011900379)","('uam', 0.00011776384)","('investment', 0.00011705664)"
"('payroll', 0.0040150364)","('can', 0.003680772)","('autobus', 0.0036471644)","('audiovis', 0.0035712994)","('aut', 0.0035407483)","('alevizos', 0.0028590013)","('punit', 0.002828237)","('venet', 0.0025893527)","('collezion', 0.0024393573)","('arte', 0.0022485026)","('medical', 0.002073512)","('developments', 0.0020129534)","('coinvolt', 0.0017967996)","('parer', 0.0016448792)","('protes', 0.0015406148)","('eccettu', 0.0013336125)","('venditr', 0.0013139263)","('addett', 0.0012615281)","('quotid', 0.0011339582)","('mil', 0.00068773824)","('stamp', 0.00051480293)","('cipr', 0.00049338635)","('trasparent', 0.0002995643)","('giappon', 0.00021232873)","('bern', 0.00016824123)"
"('donazion', 0.011692479)","('cellul', 0.0076787607)","('tess', 0.007014769)","('campagn', 0.00651516)","('approvvigion', 0.00545105)","('equid', 0.0047110473)","('golden', 0.00437801)","('isoglucos', 0.004048787)","('orient', 0.0026827718)","('unific', 0.0026283287)","('shares', 0.0023621148)","('rappresentativ', 0.0022388275)","('catastal', 0.002184304)","('codific', 0.0021168403)","('roquett', 0.002110368)","('holland', 0.0020866832)","('genet', 0.00199614)","('lealment', 0.0019508161)","('produttr', 0.001736693)","('uman', 0.0017101407)","('sbocc', 0.0015111557)","('minimis', 0.0012048061)","('benef', 0.001110979)","('istitut', 0.0010607168)","('ross', 0.00027043678)"
"('ammend', 0.037776276)","('medic', 0.020260194)","('fitosanitar', 0.01843698)","('cur', 0.01821848)","('tabacc', 0.016833525)","('sigarett', 0.0115204975)","('forfettar', 0.01097104)","('cauzion', 0.010058322)","('genet', 0.009914912)","('tub', 0.009850875)","('ospedalier', 0.009263927)","('infrazion', 0.008338699)","('inflitt', 0.007054619)","('ispezion', 0.006925878)","('hauptzollamt', 0.0064725797)","('ispettor', 0.0063953716)","('cellul', 0.006044258)","('orient', 0.005976628)","('ospedal', 0.005952691)","('infligg', 0.00574814)","('confin', 0.005693806)","('tobacc', 0.005246255)","('pazient', 0.004993585)","('ospedalizz', 0.0046263905)","('frument', 0.0046232515)"
"('inademp', 0.04641946)","('impart', 0.03082161)","('granduc', 0.023530029)","('trasposizion', 0.023365075)","('omess', 0.022335317)","('parl', 0.02091521)","('lussemburg', 0.017850779)","('regolamentar', 0.016793996)","('acque', 0.016361522)","('fondatezz', 0.014478574)","('incombent', 0.012476558)","('scadenz', 0.011627617)","('inammissibil', 0.010715862)","('disposit', 0.010681769)","('telecomun', 0.0101066725)","('energ', 0.009596614)","('reflu', 0.009536441)","('inquin', 0.009299771)","('prescritt', 0.00921681)","('universal', 0.009205752)","('irland', 0.009070848)","('ret', 0.00889349)","('manc', 0.008426646)","('elettron', 0.008206167)","('adozion', 0.00784055)"
"('lavor', 0.025579004)","('soggiorn', 0.02013378)","('pension', 0.01968759)","('redd', 0.01706307)","('cittadin', 0.015571934)","('resident', 0.013810096)","('immobil', 0.012526295)","('residt', 0.00986136)","('turc', 0.0098257065)","('sess', 0.009476957)","('familiar', 0.009352683)","('domicil', 0.008986071)","('prestazion', 0.0087438505)","('figl', 0.008698573)","('donn', 0.008022432)","('retribu', 0.007897175)","('contribuent', 0.0077992175)","('vecchiai', 0.007636141)","('locazion', 0.0074436003)","('disoccup', 0.007353926)","('clausol', 0.0072930995)","('convenzion', 0.0072416468)","('previdenzial', 0.007043565)","('sig.r', 0.006988597)","('indenn', 0.0067284596)"
"('medicinal', 0.020448519)","('habitat', 0.009906597)","('prodott', 0.0098474985)","('sit', 0.009354833)","('commercializz', 0.009090021)","('portoghes', 0.008781859)","('accis', 0.008717862)","('uccell', 0.0077664345)","('alimentar', 0.0068494445)","('zon', 0.0059964047)","('natural', 0.005983012)","('adesion', 0.0057772035)","('acquirent', 0.0057646176)","('polon', 0.005552691)","('fornitor', 0.005276984)","('selvat', 0.005261817)","('alcol', 0.005234286)","('protett', 0.0052140094)","('denomin', 0.0051665166)","('immission', 0.0051154895)","('bevand', 0.005059584)","('regolament', 0.005012508)","('etichettatur', 0.0048308293)","('are', 0.004827599)","('trasmission', 0.0046993606)"
"('aiut', 0.006673406)","('doganal', 0.004911699)","('impugn', 0.0047616265)","('lavor', 0.004719718)","('tribunal', 0.004388346)","('repubbl', 0.0038616105)","('impres', 0.0034830628)","('impost', 0.0033971719)","('italian', 0.003383791)","('societ', 0.0032783393)","('contratt', 0.003206501)","('ben', 0.0031819656)","('sest', 0.003047153)","('ricorrent', 0.0029128608)","('prestazion', 0.002911956)","('regn', 0.0028936984)","('decret', 0.0027768726)","('belg', 0.0027486132)","('frances', 0.0027140796)","('progett', 0.0025885769)","('trasport', 0.0024946711)","('capital', 0.0024705883)","('prodott', 0.0024253593)","('union', 0.0023702446)","('alleg', 0.0023666308)"
